title,company,location,description,posted_at,apply_links
Software Engineer,Citadel,United States,"At Citadel, Software Engineers are responsible for building the systems that power every aspect of our investment process, from research and analysis to trading, risk management, funding and settlement. Working side by side with investors and quantitative researchers, we use our technical skills to drive critical commercial outcomes. If you’re interested in financial markets and excited by the prospect of having real impact in a fast-paced environment where everyone is inspired to be their best,...",1 day ago,Citadel: https://www.citadel.com/careers/details/software-engineer/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Workday: https://ngc.wd1.myworkdayjobs.com/en-US/Northrop_Grumman_External_Site/job/United-States-Alabama-Huntsville/Software-Engineer--24-444-_R10176791/apply/autofillWithResume?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Rethink Priorities Careers: https://careers.rethinkpriorities.org/jobs/183763/hiring-process?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Careers At Cambium Learning - Cambium Learning Group: https://jobs.cambiumlearning.com/jobs/product-engineering/remote/software-engineer/REQ-3648?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Violet Labs: https://jobs.violetlabs.com/31764?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Mentava: https://www.mentava.com/jobs?ashby_jid=9b64a18a-bf83-4e26-a1ec-68625a1d8e83&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Goliath Partners: https://www.goliathpartners.com/apply/ll-12-software-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Upwork: https://www.upwork.com/freelance-jobs/apply/Software-Engineer_~021854895568907594787/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer - Cloud Infrastructure (US Remote Available) - 30808,Splunk,Colorado (+2 others),"Splunk is here to build a safer and more resilient digital world. The world's leading enterprises use our unified security and observability platform to keep their digital systems secure and reliable. While customers love our technology, it's our people that make Splunk stand out as an amazing career destination and why we've won so many awards as a best place to work. If you become a Splunker, we want your whole, authentic self, what we call your ""million data points"". So bring your work experi...",16 days ago,Splunk: https://www.splunk.com/en_us/careers/jobs/software-engineer-cloud-infrastructure-30808.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer - Early Career,Lockheed Martin,"Hill AFB, UT","Description:By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work. With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employe...",3 days ago,"Lockheed Martin: https://www.lockheedmartinjobs.com/job/hill-air-force-base/software-engineer-early-career/694/73179574256?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/Lockheed-Martin/Job/Software-Engineer-Early-Career/-in-Hill-Air-Force-Base,UT?jid=88cdcd4a3fe0c3f2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | JSfirm.com: https://www.jsfirm.com/job/Engineering-Software-Engineer---Early-Career/Hill+AFB-Utah/jobID_1483287?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Clearance Jobs: https://www.clearancejobs.com/jobs/8060853/software-engineer-early-career?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Space Crew: https://spacecrew.com/space-jobs/m3o44ovc-lockheed-martin-software-engineer-early-career?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Cleared Careers: https://clearedcareers.com/job/582368/software-engineer-early-career/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | SimplyHired: https://www.simplyhired.com/job/7jBiuvVhO9tRlmPZOMJTaXyo-XHjSCurADsvSp8pIT8ZcuUvM4rnNQ?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Adzuna: https://www.adzuna.com/details/4945819791?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Remote Software Engineer - Numerical Algorithm Development,Get It - Professional Services,Anywhere,"Job Overview

We are actively expanding our dynamic team and are on the lookout for proficient software and algorithm developers and engineers. Our mission is to deliver state-of-the-art sensor data processing technologies and scientific solutions that cater to national security and defense. As part of our team, you will play a crucial role in providing advanced data exploitation capabilities for various U.S. Government initiatives, particularly those under the Department of Defense.

Key Respon...",1 day ago,LinkedIn: https://www.linkedin.com/jobs/view/remote-software-engineer-numerical-algorithm-development-at-get-it-professional-services-4078424775?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer,SAP,"Boulder, CO","We help the world run better

At SAP, we enable you to bring out your best. Our company culture is focused on collaboration and a shared passion to help the world run better. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your ...",20 days ago,Jobs At SAP: https://jobs.sap.com/job/Boulder-Software-Engineer-CO-80301/1137780201/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | University Jobs.com: https://www.universityjobs.com/posting/7291959?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Inside Higher Ed Careers: https://careers.insidehighered.com/job/3252645/software-engineer/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=92c5418ae59138c4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LocalJobs.com: https://www.localjobs.com/job/boulder-co-software-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Adzuna: https://www.adzuna.com/details/4809749324?title=Software_Engineer&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Talent.com: https://www.talent.com/view?id=8c28c6d44dc2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Diversity Jobs: https://diversityjobs.com/career/9610408/Software-Engineer-Colorado-Boulder?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Principal Software Engineer I - Identity,SPECTRUM,N/A,"This posting has been extended beyond it's anticipated closing date. Spectrum’s Product and Technology team creates, develops, and operates the nation’s fastest mobile service, most reliable internet service, most viewed live TV app, and the most advanced WiFi, serving nearly 100 million users and 500 million devices. We are transforming the next era of connectivity and entertainment experiences. The diversity of experience available within Spectrum’s Product and Technology team is unmatched and...",1 day ago,SitePoint: https://www.sitepoint.com/jobs-for-developers/spectrum/principal-software-engineer-i-identity-944424/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer,Epic,"Casper, WY","Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.

Code that saves lives.

As a software developer at Epic, you’ll write software that impacts the lives of 75% of Americans and 300 million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you’ll use modern development methodologies and employ user-centered design, ana...",7 days ago,LinkedIn: https://www.linkedin.com/jobs/view/software-engineer-at-epic-3986111818?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | SitePoint: https://www.sitepoint.com/jobs-for-developers/boeing/real-time-software-engineer-797454/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior Software Engineer - Core,TruMedia,Anywhere,"We’re looking for a Senior Software Engineer to join our product engineering group and improve our core platform. TruMedia’s platform enables users to explore a wide array of questions about sports data, and then save and batch those questions for future use. In this role, your responsibilities will include connecting new data sources, integrating the TruMedia platform for a new sport, improving the usability of some of our core features, among other tasks.

TruMedia Networks is an industry lead...",3 days ago,"TeamWork Online: https://www.teamworkonline.com/sports-technology-jobs/trumedia-jobs/trumedia-jobs/senior-software-engineer-core-2100314?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Built In: https://builtin.com/job/senior-software-engineer-ii-core-platform/3237177?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobgether: https://jobgether.com/offer/67311695f507fa65d0ea76f4-senior-software-engineer-ii---core-platform?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Powderkeg: https://powderkeg.com/job/6583/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Glassdoor: https://www.glassdoor.com/job-listing/senior-software-engineer-core-trumedia-JV_KO0,29_KE30,38.htm?jl=1009532303144&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Simplify Jobs: https://simplify.jobs/p/a063c7aa-8a32-4aae-b368-e3ac2b44cebf/Senior-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LazyApply: https://lazyapply.com/jobpreview/job_111769c62bb4c66a?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Blind: https://www.teamblind.com/jobs/121652864?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Software Engineer II - Fullstack,BILL,United States,"Innovate with purpose

At BILL, we believe in empowering the businesses that drive our economy. By replacing outdated financial processes with innovative tools, we help businesses—from startups to established brands—make smarter decisions and gain control of their operations. And we don’t stop there: we’re creating the future of financial automation so businesses can spend more time on what matters.

Working here means you become part of a vision-driven team that’s ready to tackle challenges and...",3 days ago,Jobs | Scale Venture Partners Job Board - Scale Venture Partners: https://jobs.scalevp.com/companies/bill-2/jobs/42581125-software-engineer-ii-fullstack?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobs | Emergence Job Board: https://talent.emcap.com/companies/bill-2/jobs/42581125-software-engineer-ii-fullstack?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer III - Frontend,Chewy,United States,"Our Opportunity:

Chewy's Vendor Partner Portal business is expanding rapidly, and we're seeking skilled Senior Front-End Engineers to help shape the future of our vendor facing platform. If you're passionate about building intuitive user experiences for B2B customers at scale, we'd love to hear from you! In this role, youll drive iterative development, mentor junior engineers, and contribute to the growth of one of Chewys business priorities.

About You:

As an experienced Software Engineer wit...",2 days ago,"VentureFizz: https://venturefizz.com/jobs/software-engineer-iii-frontend-at-chewy?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Fashion United: https://fashionunited.com/fashion-jobs/software-engineer-iii-frontend-galway-1713497?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/Chewy/Job/Software-Engineer-III-Frontend/-in-Boston,MA?jid=b12b7a01b05137a8&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Rise AI Job Search | Tech Startup Jobs, Remote Jobs Hiring Now: https://app.joinrise.co/jobs/walmart-software-engineer-iii-frontend-nt42?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobilize: https://www.jobilize.com/job/us-software-engineer-iii-frontend-comoto-hiring-now-job-immediately?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
