search_query,title,company,location,description,posted_at,posted_date,apply_links
software engineer,Software Engineer,Lockheed Martin,"Highlands Ranch, CO","Description:Space is a critical domain, connecting our technologies, our security and our humanity. While others view space as a destination, we see it as a realm of possibilities, where we can do more — we can innovate, invest, inspire and integrate our capabilities to transform the future.

At Lockheed Martin Space, we aim to harness the full potential of space to cultivate innovation, reduce costs, and push the boundaries of what technology can achieve. We’re creating future-ready solutions, ...",2 days ago,2024-11-19,"Lockheed Martin: https://www.lockheedmartinjobs.com/job/highlands-ranch/software-engineer/694/73281323376?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Smart Recruiters Jobs: https://jobs.smartrecruiters.com/Visa/744000027677025-software-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/software-engineer-at-lockheed-martin-4079125965?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Glassdoor: https://www.glassdoor.com/job-listing/software-engineer-visa-JV_IC1164304_KO0,17_KE18,22.htm?jl=1009499825821&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=2c4903ddc6566a76&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Georgia Fintech Academy: https://jobs.georgiafintechacademy.org/companies/visa-2/jobs/42609470-software-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Talentify: https://www.talentify.io/job/software-engineer-highlands-ranch-co-us-visa-ref049399w?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Adzuna: https://www.adzuna.com/details/4945708079?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,Software Engineer Early Career,Lockheed Martin,"Littleton, CO","Description:By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work. With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employe...",2 days ago,2024-11-19,"Lockheed Martin: https://www.lockheedmartinjobs.com/job/littleton/software-engineer-early-career/694/73281245104?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/Lockheed-Martin-Corporation/Job/Software-Engineer-Early-Career/-in-Littleton,CO?jid=b90affd3deab0e1d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=e978cf3ee3df0a6a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Glassdoor: https://www.glassdoor.com/job-listing/software-engineer-early-career-lockheed-martin-JV_IC1148194_KO0,30_KE31,46.htm?jl=1009535958341&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Space Crew: https://spacecrew.com/space-jobs/m3qz6i7e-lockheed-martin-software-engineer-early-career?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | SimplyHired: https://www.simplyhired.com/job/iBfdDTEPcnP8uzZmrosXx-z0BCYwvRCqA_3DXrhEHh_pYxh5sHgfHQ?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,Principal Message Passing Software Engineer,HPE,Colorado (+13 others),"Principal Message Passing Software Engineer

This role has been designed as ‘Hybrid’ with an expectation that you will work on average 2-3 days per week from an HPE office.

Who We Are:

Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s com...",22 hours ago,2024-11-21,Hewlett Packard Enterprise Jobs: https://careers.hpe.com/us/en/job/1159017/Principal-Message-Passing-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,Software Engineer - TS/SCI with CI Poly,Leidos,"Aurora, CO","Description

Leidos is currently seeking a passionate Software Engineer, who is looking to make an impact on the world. Our engineering teams are highly adept at solving complex problems with the application of leading-edge technology, empowering the intelligence and war-fighter communities as they make mission-critical decisions. The Engineering team utilizes modern software tools to integrate with external data providers, ingest historical data, and stream in near real time to our user communi...",2 days ago,2024-11-19,"Leidos Careers: https://careers.leidos.com/jobs/15281668-software-engineer-ts-slash-sci-with-ci-poly?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/software-engineer-ts-sci-with-ci-poly-at-leidos-4080964322?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/00100-LEIDOS,-INC./Job/Software-Engineer-TS-SCI-with-CI-Poly/-in-Aurora,CO?jid=a70a4e76ebeb2943&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Diversity Jobs: https://diversityjobs.com/career/10348543/Software-Engineer-Ts-Sci-With-Ci-Poly-Colorado-Aurora?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | IHire: https://www.ihire.com/jobs/view/454942350?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Monster: https://www.monster.com/job-openings/software-engineer-ts-sci-with-ci-poly-aurora-co--ddf7c889-3e93-4507-9c12-add519e1313d?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | SaluteMyJob: https://salutemyjob.com/jobs/software-engineer-with-ts-sci-and-ci-poly-aurora-colorado/1503082384-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LazyApply: https://lazyapply.com/jobpreview/2pGG4tkMOh3B1eR7_hl4kMG27cYurysKAXzvkxorQtq_Asaj1xe4BQ?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,Specialty Software Engineer,Apex Systems,United States,"100% ONSITE-MUST SIT IN OR NEAR Dallas, TX; CLT, NC; or PHX, AZ !

Job title: Specialty Software Engineer

Location: HYBRID- 3 days onsite in one of three markets- Dallas, TX; CLT, NC; or PHX, AZ.

Type: Contract- 1 opening

Contract length: 12 months

Interview process: 2 virtual IV's

Citizenship: USC/GC candidates only (no c2c or c2h for w2 purposes)

Screenings: background once hired

Pay: exactly $81.88- no flexibility with rate

Start date: ASAP- may be pushed to mid/end of December

Hours...",6 hours ago,2024-11-21,LinkedIn: https://www.linkedin.com/jobs/view/specialty-software-engineer-at-apex-systems-4079483444?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | BeBee: https://us.bebee.com/job/12ccb88726fa7a7f9b97e045e06c2f82?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobilize: https://www.jobilize.com/job/us-specialty-software-engineer-teksystems-hiring-now-job-immediately?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,Principal Software Engineer I - Identity,SPECTRUM,"Castle Pines, CO","This posting has been extended beyond it's anticipated closing date. Spectrum’s Product and Technology team creates, develops, and operates the nation’s fastest mobile service, most reliable internet service, most viewed live TV app, and the most advanced WiFi, serving nearly 100 million users and 500 million devices. We are transforming the next era of connectivity and entertainment experiences. The diversity of experience available within Spectrum’s Product and Technology team is unmatched and...",2 days ago,2024-11-19,SitePoint: https://www.sitepoint.com/jobs-for-developers/spectrum/principal-software-engineer-i-identity-944213/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Recruiter.com: https://jobs.recruiter.com/jobs/11766642317-principal-software-engineer-i-identity?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Snagajob: https://www.snagajob.com/jobs/1029600018?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobilize: https://www.jobilize.com/job/us-co-castle-pines-north-principal-software-engineer-i-identity-spectrum?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | The BIG Jobsite: https://us.thebigjobsite.com/details/58914B53DB0659EA2D4A092A1C21B1A3/principal-software-engineer-i---identity?source=attbus&utm_source=googlejobs&utm_medium=api2&key=0BA8AEF158EF5D761128B9A0A14B9A1D&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,Senior Software Engineer,Empower,"Greenwood Village, CO","Our vision for the future is based on the idea that transforming financial lives starts by giving our people the freedom to transform their own. We have a flexible work environment, and fluid career paths. We not only encourage but celebrate internal mobility. We also recognize the importance of purpose, well-being, and work-life balance. Within Empower and our communities, we work hard to create a welcoming and inclusive environment, and our associates dedicate thousands of hours to volunteerin...",4 days ago,2024-11-17,"Empower: https://jobs.empower.com/job/united-states/senior-software-engineer/42743/61958903104?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Paylocity: https://recruiting.paylocity.com/Recruiting/Jobs/Details/2797410?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/senior-software-engineer-at-nextworld%C2%AE-4049588904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Talent.com: https://www.talent.com/view?id=e08e445540d8&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | BeBee: https://us.bebee.com/job/b2189d65b330bc57a4cd63625c9b9705?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Glassdoor: https://www.glassdoor.com/job-listing/senior-software-engineer-cobank-JV_IC1164302_KO0,24_KE25,31.htm?jl=1009525135881&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Ladders: https://www.theladders.com/job-listing/senior-software-engineer-mitek-greenwood-village-co-_v2_-7-535866763.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Recruit.net: https://www.recruit.net/job/senior-software-engineer-jobs/DF54E09E4FFB8599?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,Software Engineer (AI/ML Interface Development),BAE Systems,United States (+3 others),"Job Description See what you’re missing. Our employees work on the world’s most advanced electronics – from detecting threats for F-35 pilots to illuminating the night for soldiers. Spanning air, land, sea, and space, we are developing the technology of tomorrow, delivered today. Drawing strength from our differences, we’re innovating for the future. And you can, too. Our flexible work environment provides you a chance to change the world without giving up your personal life. We put our customer...",7 days ago,2024-11-14,BAE Systems: https://jobs.baesystems.com/global/en/job/105806BR/Software-Engineer-AI-ML-Interface-Development?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Built In: https://builtin.com/job/software-engineer-aiml-interface-development/3388186?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/software-engineer-ai-ml-interface-development-at-bae-systems-inc-4045133304?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | SWE Career Center: https://careers.swe.org/job/software-engineer-aiml-interface-development/75871777/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Ymcnetwork.careerwebsite.com: https://ymcnetwork.careerwebsite.com/job/software-engineer-aiml-interface-development/75869198/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | SHPE Career Center: https://careercenter.shpe.org/job/software-engineer-aiml-interface-development/75922330/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Experteer.at: https://www.experteer.at/account/signup_now/job/49195416?signup_link=lo_job_title&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LocalJobs.com: https://www.localjobs.com/job/san-diego-ca-software-engineer-ai-ml-interface-development?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,Senior Software Engineer - Core,TruMedia,Anywhere,"We’re looking for a Senior Software Engineer to join our product engineering group and improve our core platform. TruMedia’s platform enables users to explore a wide array of questions about sports data, and then save and batch those questions for future use. In this role, your responsibilities will include connecting new data sources, integrating the TruMedia platform for a new sport, improving the usability of some of our core features, among other tasks.

TruMedia Networks is an industry lead...",4 days ago,2024-11-17,"TeamWork Online: https://www.teamworkonline.com/sports-technology-jobs/trumedia-jobs/trumedia-jobs/senior-software-engineer-core-2100314?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Glassdoor: https://www.glassdoor.com/job-listing/senior-software-engineer-core-trumedia-JV_KO0,29_KE30,38.htm?jl=1009532303144&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Built In: https://builtin.com/job/senior-software-engineer-ii-core-platform/3237177?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/m/viewjob?jk=b89ca72aee33091a&from=serp&tk=1id0ppffbg8r786k&xkcb=SoBz67M35g7qKHSRM50BbzkdCdPP&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobgether: https://jobgether.com/offer/67311695f507fa65d0ea76f4-senior-software-engineer-ii---core-platform?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Powderkeg: https://powderkeg.com/job/6583/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Simplify Jobs: https://simplify.jobs/p/a063c7aa-8a32-4aae-b368-e3ac2b44cebf/Senior-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LazyApply: https://lazyapply.com/jobpreview/job_111769c62bb4c66a?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,C#.NET Software Engineer,Kavaliro,Anywhere,"Our client is seeking a C#.NET Software Engineer for a direct hire opportunity. The Software Engineer will join an Agile team to help continue to build a great software product. They release 5-6 new versions every year.

DUTIES:
• A successful person in this position is responsible for writing code to build new product enhancements and fix defects as directed in both a Windows and Web environment.
• Perform tests on new features built and review code written by other Software Engineers on the te...",1 day ago,2024-11-20,LinkedIn: https://www.linkedin.com/jobs/view/c%23-net-software-engineer-at-kavaliro-4078647068?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
